ISO	Average_paradigm_size	LCS_threshold
xsu	2.9651	0.85
yad	2.5267	0.85
yaq	2.9572	0.85
yor	2.5017	0.85
aey	2.2109	0.9
amp	3.0174	0.9
ape	2.9893	0.9
apu	2.8583	0.9
arn	2.2144	0.9
arz	2.4183	0.9
bsn	2.2757	0.9
cha	2.0702	0.9
ckt	2.2676	0.9
deu	2.3743	0.9
dgz	2.8	0.9
ell	2.3104	0.9
eng	2.0279	0.9
eus	2.071	0.9
fij	2.1373	0.9
fin	2.3123	0.9
fra	2.1663	0.9
gug	2.227	0.9
hae	2.358	0.9
hau	2.5	0.9
hin	2.0806	0.9
ind	2.1633	0.9
jac	2.2883	0.9
kal	2.0979	0.9
kat	2.2289	0.9
kew	2.4943	0.9
khk	2.3309	0.9
mig	2.3868	0.9
mph	2.1569	0.9
mya	2.0843	0.9
mzh	2.4561	0.9
naq	2.3495	0.9
plt	2.4777	0.9
qvi	2.151	0.9
rus	2.504	0.9
sag	2.0	0.9
spa	2.3343	0.9
swh	2.2032	0.9
tgl	2.1838	0.9
tur	2.4575	0.9
vie	2.0	0.9
xsu	2.1955	0.9
yad	2.2315	0.9
yaq	2.4212	0.9
yor	2.2756	0.9
